metric,value
bbm_records,34856
dap_action_rows,412
dap_actions_cannot_assess_current_extract,42
dap_actions_changed_elsewhere,2
dap_actions_implemented,0
dap_actions_possibly_implemented_unprefixed,0
dap_actions_still_unimplemented,368
dap_correct,261
dap_gold_links,355
dap_mode,rules
dap_precision_linked_pct,93.9
dap_recall_pct,73.5
dap_review_required,0
dap_unmatched,77
dap_wrong,17
dap_wrong_link_rate_pct,6.1
gbif_harvest_gap,1757
gbif_no_guid,0
gbif_present,33099
gbif_present_dup,0
gbif_records,34878
gbif_rows,34856
genbank_bidirectional,1
genbank_gt_accessions,213
genbank_no_explicit_crossref,30
genbank_records,213
genbank_records_fetched,213
genbank_ubc_cites_accession,1
genbank_unidirectional_platform_to_ubc,182
genbank_unidirectional_ubc_to_platform,0
genbank_unlinked_on_ubc,212
genbank_voucher_cites_f,183
generated_at_utc,2026-09-08T02:17:12.698136+00:00
include_llm,False
include_network,False
lineage_bbm_rows,34856
lineage_gbif_orphan_rows,1779
lineage_mycoportal_orphan_rows,313
lineage_orphan_rows,2092
lineage_rows,36948
lineage_rows_needing_action,6480
lineage_spot_checks,22
lineage_spot_checks_needing_attention,0
lineage_spot_checks_passed,22
mo_absent,2657
mo_bidirectional,16
mo_duplicate_candidate_pairs,22941
mo_explicit_bidirectional,17
mo_explicit_none,33827
mo_explicit_unidirectional_mo_to_ubc,1008
mo_explicit_unidirectional_ubc_to_mo,2
mo_explicit_wrong_id,2
mo_records,5866
mo_resolution_pairs,3401
mo_unidirectional_platform_to_ubc,726
mo_unidirectional_ubc_to_platform,2
mycoportal_harvest_gap,223
mycoportal_no_guid,0
mycoportal_present,34633
mycoportal_present_dup,0
mycoportal_records,34946
mycoportal_rows,34856
